1. 지번별 감정가 입력,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
지번일련번호,지번주소지,,,면적(평),평당감정가,감정가,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
기계기구,,,,,,,,,,,,,,
* 평당 감정가 역산,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1-1 지번별 평가, (1번 입력가액 가지고 연결),,,,,,,,,,,,,
지번일련번호,지번주소지,,,면적(평),평당감정가,감정가,1안,,2안,,,,,
,,,,,,,평당 평가액,평가액,평당 평가액,평가액,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2. 배분대상재원 안분 (해지부),,,,,,,,,,,,,,
구분,감정평가금액,당해시설 여부,1안배당가능재원(AK),2안배당가능재원(AL),1순위 근저당권,2순위 근저당권,3순위 근저당권,,,,,,,
토지,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
건물,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
기계,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
제시외,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
당해시설 (일부일경우 평가자입력),,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,체크박스,체크박스,체크박스,,,,,,,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2-1. 배분대상재원 안분 (타행기계기구),,,,,,,,,,,,,,
구분,감정평가금액,타행기계여부,1안배당가능재원(AK),2안배당가능재원(AL),,,,,,,,,,
토지,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
건물,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
기계,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
제시외,,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
타행기계기구 (일부일경우 평가자입력),,체크박스,감정평가금액으로 안분,감정평가금액으로 안분,,,,,,,,,,
Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3. 기계기구,,,,,,,,,,,,,,
번호,기계기구명,,,제조사,제작일자,수량,단가,감정가,공장저당1호,공장저당2호,공장저당3호,공장저당 4호,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
카톡 사진전송 기능,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4. 주택 선순위 임대차 확인,,,,,,,,,,,,,,
구분,면적,임차인,임차개시일,임차종료일,전입일,보증금,월세,소액보증금,선순위 보증금,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
합계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5. 상가 임대차,,,,,,,,,,,,,,
구분,면적,임차인,임차개시일,임차종료일,확정신고일,보증금,월세,소액보증금,선순위 보증금,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
합계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6. 수익가치,"입력정보 가져오기 (주택, 상가 입력된 정보)",,,,,,,,,,,,,
구분,면적,임차인,임차개시일,임차종료일,확정신고일,보증금,월세,연임대료,환원율,수익가치,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
합계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6-1 수익가치 민감도 분석,,,,,,,,,,,,,,
기본할인율,0.06,민감도 기준,0.005,,,,,,,,,,,
구분,0.05,0.055,0.06,0.065,0.07,,,,,,,,,
수익가치,,,,,,,,,,,,,,
평당가액,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7. 임금채권,,,,,,,,,,,,,,
순번,성명,생년월일,가압류일자,가압류금액,배당요구일자,배당요구액(체불내역),,,,반영금액,,,,비고
,,,,,,임금,퇴직금,기타,합계,3개월 임금,3년분 퇴직금,체당금지급액,합 계,
1,김00,680714,,,2025-04-23 00:00:00,,19539623,,19539623,,7099200,0,7099200,
2,라00,680109,,,2025-05-01 00:00:00,,35108309,,35108309,,12401910,0,12401910,
3,김00,700220,,,2025-05-22 00:00:00,,8869018,,8869018,,7234470,7000000,234470,
4,근로복지공단,,,,2025-06-27 00:00:00,,,,0,7000000,,,7000000,배당요구종기일 경과 후 배당요구하였으나 3번 김00 체당금 지급으로 추정 반영
5,근로복지공단,,,,2025-08-01 00:00:00,,,,0,,,,0,배당요구종기일 경과 후 배당요구
,,,,,,,,,0,,,,0,
합계,,,,0,,0,63516950,0,63516950,7000000,26735580,7000000,26735580,
,,,,,,,,,,,,,,
8. 탐문 매매 Table,,,,,,,,,,,,,,
구분,감정가,면적(평),단가,평가액,,,,,,,,,,
토지,,,,,,,,,,,,,,
건물,,,,,,,,,,,,,,
기계,,,,,,,,,,,,,,
합계,0,,,0,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9. 탐문 수익가치 table,,,,,,,,,,,,,,
건물면적,평당임대료,월임대료,연임대료,환원율,보증금 ,수익가치,,,,,,,,
,,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,
10. 선순위 관리비,,,,,,,,,,,,,,
관리사무소 번호,체납관리비,월 관리비,1안 추정관리비,2안 추정관리비,,,,,,,,,,
,,0,체납관리비+month(adate~1안낙찰일)*월 관리비,체납관리비+month(adate~2안낙찰일)*월 관리비,,,,,,,,,,
,,,,,,,,,,,,,,
11. 임대호가 분석,,,,,,,,,,,,,,
구분,호가1,호가2,호가3,호가4,호가5,평균,,,,,,,,
분양(평),,,,,,,,,,,,,,
전용(평),,,,,,,,,,,,,,
보증금,,,,,,,,,,,,,,
월 임대료,,,,,,,,,,,,,,
전용평당임대료,,,,,,,,,,,,,,
층수,,,,,,,,,,,,,,
비고,,,,,,,,,,,,,,
월 임대수익,,연간임대수익,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12. 무상임대분석,,,,,,,,,,,,,,
IRR,,구분,1,2,3,4,5,,,,,,,
본건 면적(평),,연도별 무상임대기간,6,6,3,3,0,,,,,,,
감정가,,연간 임대수익,,,,,,,,,,,,
평당 감정가,,월 임대수익,,,,,,,,,,,,
지역소득수익율,,평당 실질 임대수익,,,,,,,,,,,,
평당 정상 임대수익,,TV,,,,,,,,,,,,
,,CF,,,,,,,,,,,,
,,수익가치,,평당,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13. QA 등록,,,,,,,,,,,,,,
No.,Question,,,,,Answer,,,,,,,,
,Date,Description,,,,Date,Description,,,,,,,
1,2024-11-04 00:00:00,"공매진행시, 공동1순위권자의 동의없이 공매를 진행할 수 있는지 확인부탁드립니다. 동의가 반드시 필요하다면 공동1순위권자가 동의한 동의서 등 자료 송부부탁드립니다.",,,,2024-11-14 00:00:00,기 제공해 드린 론파일 1/2 의 부동산신탁계약서의 별첨 2 신탁재산의 처분에 관한 조건을 참고하시기 바랍니다.,,,,,,,
2,2024-11-04 00:00:00,신탁원부 및 수익권증서 요청드립니다.,,,,2024-11-14 00:00:00,요청하신 자료는 기제공된 론파일내 존재하는 것으로 확인됩니다.,,,,,,,
3,2024-11-04 00:00:00,NPL에 이르게 된사유 확인바랍니다.,,,,2024-11-14 00:00:00,차주 부실화 사유에 대해서 당행 별도로 파악하고 있는 바 없습니다.,,,,,,,
4,2024-11-04 00:00:00,담보2 경매미진행 사유 확인바랍니다.,,,,2024-11-14 00:00:00,당행 경매신청 준비 중으로 상세한 일정까지는 확인하기 어려운 점 양해해 주시기 바랍니다.,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,150000,,,,,,,,,,,,
,,2000,,,,,,,,,,,,
,,300000000,,,,,,,,,,,,
,,1500000000,750000000,,,,,,,,,,,
