"상가건물 임대차보호법 시행령 제 2조, 6조, 7조",Unnamed: 1,>공공데이터 복구 후 업데이트 가능,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
시행일자,지역,조건(이하),최우선 변제 보증금,최우선변제액,Category,주택
2002.10.14,서울특별시,240000000,45000000,13500000,Category1,
,「수도권정비계획법」에 따른 수도권중 과밀억제권역(서울특별시를 제외한다),190000000,39000000,11700000,Category2,Category5
,광역시(군지역과 인천광역시는 제외),150000000,30000000,9000000,Category3,Category6
,그밖의 지역,140000000,25000000,7500000,Category4,
2008.08.21,서울특별시,260000000,45000000,13500000,Category1,
,「수도권정비계획법」에 따른 수도권중 과밀억제권역(서울특별시를 제외한다),210000000,39000000,11700000,Category2,
,광역시(군지역과 인천광역시는 제외),160000000,30000000,9000000,Category3,
,그밖의 지역,150000000,25000000,7500000,Category4,
2010.07.26,서울특별시,300000000,50000000,15000000,Category1,
,「수도권정비계획법」에 따른 수도권중 과밀억제권역(서울특별시를 제외한다),250000000,45000000,13500000,Category5,
,"광역시(「수도권정비계획법」에 따른 과밀억제권역에 포함된 지역과 군지역은 제외한다), 안산시, 용인시, 김포시 및 광주시",180000000,30000000,9000000,Category6,
,그밖의 지역,150000000,25000000,7500000,Category7,
2014.01.01,서울특별시,400000000,65000000,22000000,Category1,
,「수도권정비계획법」에 따른 수도권중 과밀억제권역(서울특별시를 제외한다),300000000,55000000,19000000,Category5,
,"광역시(「수도권정비계획법」에 따른 과밀억제권역에 포함된 지역과 군지역은 제외한다), 안산시, 용인시, 김포시 및 광주시",240000000,38000000,13000000,Category6,
,그밖의 지역,180000000,30000000,10000000,Category7,
"2018.01.26
~2019-04-01",서울특별시,610000000,65000000,22000000,Category1,
,수도권정비계획법에 따른 과밀억제권역(서울특별시 제외),500000000,55000000,19000000,Category8,
,부산광역시(기장군 제외),500000000,38000000,13000000,Category9,
,부산광역시(기장군),500000000,30000000,10000000,Category10,
,"광역시(수도권정비계획법에 따른 과밀억제권역에 포함된 지역과 군지역, 부산광역시 제외), 안산시, 용인시, 김포시 및 광주시",390000000,38000000,13000000,Category11,
,"세종특별자치시, 파주시, 화성시",390000000,30000000,10000000,Category12,
,그 밖의 지역,270000000,30000000,10000000,Category13,
"2019.04.02
현재",서울,900000000,65000000,22000000,Category1,
,수도권/과밀억제권역/부산광역시,690000000,55000000,19000000,Category14,
,"광역시(인천.부산,군지역제외),세종시,파주시,화성시,안산시,용인시,김포시,경기광주시",540000000,38000000,13000000,Category15,
,기타지역,370000000,30000000,10000000,Category16,
,,,,,,
조건산정시 비율,월세 *100,,,,,
,,,,,,
Category1,서울특별시,,,,,
Category2,"인천광역시[강화군, 옹진군, 중구  운남동· 운북동·운서동·중산동· 남북동·덕교동·을왕동· 무의동, 서구  대곡동· 불노동·마전동·금곡동· 오류동·왕길동·당하동· 원당동, 연수구 송도매립지(인천광역 시장이  송도신시가지 조성을  위하여  1990년 11월  12일  송도앞 공유수면매립공사면허를 받은  지역을  말한다), 남동유치지역을
제외한다]
· 의정부시
· 구리시
· 남양주시(호평동, 평내동, 금곡동·일패동·이패동· 삼패동·가운동·수석동· 지금동, 도농동에 한한다)
· 하남시
· 고양시
· 수원시
· 성남시
· 안양시
· 부천시
· 광명시
· 과천시
· 의왕시
· 군포시
· 시흥시
(반월특수지역을  제외한다)",,,,,
Category3,"[부산광역시, 대전광역시, 울산광역시, 대구광역시, 광주광역시 중 군지역 제외]",,,,,
Category4,"category1,2,3 외 지역",,,,,
Category5,"2. 인천광역시[강화군, 옹진군, 서구 대곡동ㆍ불로동ㆍ마전동ㆍ금곡동ㆍ오류동ㆍ왕길동ㆍ당하동ㆍ원당동, 인천경제자유구역(경제자유구역에서해제된 지역을 포함한다) 및 남동 국가산업단지는 제외한다] 3. 의정부시4. 구리시5. 남양주시(호평동, 평내동, 금곡동, 일패동, 이패동, 삼패동, 가운동, 수석동, 지금동 및 도농동만해당한다) 6. 하남시7. 고양시8. 수원시9. 성남시10. 안양시11. 부천시12. 광명시13. 과천시14. 의왕시15. 군포시16. 시흥시[반월특수지역(반월특수지역에서 해제된 지역을 포함한다)은제외한다]",,,,,
Category6,"안산시,용인시,김포시 및 광주시,  [부산광역시, 대전광역시, 울산광역시, 대구광역시, 광주광역시 중 군지역 제외]",,,,,
Category7,"category1,5,6 외 지역",,,,,
Category8,"2. 인천광역시[강화군, 옹진군, 서구 대곡동ㆍ불로동ㆍ마전동ㆍ금곡동ㆍ오류동ㆍ왕길동ㆍ당하동ㆍ원당동, 인천경제자유구역(경제자유구역에서해제된 지역을 포함한다) 및 남동 국가산업단지는 제외한다] 3. 의정부시4. 구리시5. 남양주시(호평동, 평내동, 금곡동, 일패동, 이패동, 삼패동, 가운동, 수석동, 지금동 및 도농동만해당한다) 6. 하남시7. 고양시8. 수원시9. 성남시10. 안양시11. 부천시12. 광명시13. 과천시14. 의왕시15. 군포시16. 시흥시[반월특수지역(반월특수지역에서 해제된 지역을 포함한다)은제외한다]",,,,,
Category9,부산광역시 (기장군 제외),,,,,
Category10,부산광역시 기장군,,,,,
Category11,"안산시,용인시,김포시 및 광주시,  [대전광역시, 울산광역시, 대구광역시, 광주광역시 중 군지역 제외]",,,,,
Category12,"세종특별자치시, 파주시, 화성시",,,,,
Category13,"category1,8,9,10, 11, 12외 지역",,,,,
Category14," 2. 인천광역시[강화군, 옹진군, 서구 대곡동ㆍ불로동ㆍ마전동ㆍ금곡동ㆍ오류동ㆍ왕길동ㆍ당하동ㆍ원당동, 인천경제자유구역(경제자유구역에서해제된 지역을 포함한다) 및 남동 국가산업단지는 제외한다] 3. 의정부시4. 구리시5. 남양주시(호평동, 평내동, 금곡동, 일패동, 이패동, 삼패동, 가운동, 수석동, 지금동 및 도농동만해당한다) 6. 하남시7. 고양시8. 수원시9. 성남시10. 안양시11. 부천시12. 광명시13. 과천시14. 의왕시15. 군포시16. 시흥시[반월특수지역(반월특수지역에서 해제된 지역을 포함한다)은제외한다], 부산광역시",,,,,
Category15,"세종시,파주시,화성시,안산시,용인시,김포시,경기광주시, [대전광역시, 울산광역시, 대구광역시, 광주광역시 중 군지역 제외]",,,,,
Category16,"category1,14,15외 지역",,,,,
